epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,1296.32,0.67128,0.6517,0.59815,0.93191,0.98498,1,0.995,0.87819,0.98498,1,0.995,0.89728,0.54044,0.36557,0.47279,0.82725,0.000806528,0.000806528,0.000806528
46,1324.96,0.70123,0.6572,0.59499,0.92975,0.98995,1,0.995,0.86588,0.98995,1,0.995,0.87787,0.51895,0.35933,0.46374,0.8154,0.00079238,0.00079238,0.00079238
47,1353.43,0.72505,0.70463,0.63883,0.95052,0.99108,1,0.995,0.86872,0.99108,1,0.995,0.86543,0.5632,0.39353,0.46224,0.82894,0.000778233,0.000778233,0.000778233
48,1382.3,0.70517,0.64112,0.61354,0.93481,0.98957,1,0.995,0.86299,0.98957,1,0.995,0.8709,0.55238,0.39035,0.46486,0.82539,0.000764086,0.000764086,0.000764086
49,1410.2,0.76166,0.69452,0.62639,0.97285,0.98351,1,0.995,0.85984,0.98351,1,0.995,0.87939,0.54319,0.35295,0.47809,0.82691,0.000749939,0.000749939,0.000749939
50,1438.94,0.71549,0.66544,0.61301,0.92837,0.98762,1,0.995,0.87479,0.98762,1,0.995,0.90404,0.54348,0.35557,0.46235,0.83007,0.000735792,0.000735792,0.000735792
51,1467.5,0.74162,0.70612,0.6194,0.93866,0.99031,1,0.995,0.87718,0.99031,1,0.995,0.90262,0.57501,0.38122,0.4551,0.83769,0.000721645,0.000721645,0.000721645
52,1496.08,0.68673,0.62328,0.60808,0.94124,0.99115,1,0.995,0.8835,0.99115,1,0.995,0.89744,0.5602,0.3854,0.47045,0.83727,0.000707498,0.000707498,0.000707498
53,1524.99,0.66918,0.6295,0.58634,0.92243,0.99044,1,0.995,0.88383,0.99044,1,0.995,0.91044,0.58084,0.35392,0.46189,0.84231,0.000693351,0.000693351,0.000693351
54,1553.72,0.69277,0.6446,0.61728,0.93874,0.99124,1,0.995,0.88219,0.99124,1,0.995,0.90669,0.55838,0.32877,0.46001,0.8307,0.000679204,0.000679204,0.000679204
55,1582.62,0.72467,0.64119,0.60446,0.94847,0.99247,1,0.995,0.86535,0.99247,1,0.995,0.88141,0.5026,0.31732,0.43802,0.8303,0.000665057,0.000665057,0.000665057
56,1611.66,0.66379,0.6314,0.57277,0.92595,0.99197,1,0.995,0.87646,0.99197,1,0.995,0.88803,0.47837,0.32823,0.43694,0.82178,0.000650909,0.000650909,0.000650909
57,1641.08,0.68698,0.64237,0.59168,0.9151,0.98794,1,0.995,0.89854,0.98794,1,0.995,0.91481,0.44814,0.33647,0.41259,0.81304,0.000636762,0.000636762,0.000636762
58,1670.04,0.66511,0.64835,0.579,0.92879,0.98966,1,0.995,0.88003,0.98966,1,0.995,0.91327,0.44176,0.34652,0.42615,0.81049,0.000622615,0.000622615,0.000622615
59,1699.29,0.69604,0.65382,0.58968,0.92706,0.99317,1,0.995,0.89045,0.99317,1,0.995,0.90629,0.46417,0.34717,0.42966,0.81046,0.000608468,0.000608468,0.000608468
